data,godzina,temp,wilgotnosc_wzgledna,PM1,PM2.5,PM10,szerokosc,latitude,dlugosc,longitude,szerokosc_stopnie,dlugosc_stopnie
170917,184515,13.52,83.45,0.75,0.75,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184552,13.55,83.45,0.5,0,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184630,13.52,83.38,0.75,0.25,5.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184707,13.58,83.3,0.5,0.5,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184746,13.5,83.3,0.5,1,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184824,13.5,83.38,0.75,0.5,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184901,13.52,83.4,1,0.25,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,184940,13.52,83.28,0.75,0.75,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185018,13.55,83.4,1.75,1.25,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185055,13.5,83.28,1.5,1.25,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185133,13.5,83.38,1.25,1.5,2.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185211,13.52,83.47,0.5,0.5,5.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185249,13.55,83.57,0.75,0.25,4.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185327,13.58,83.58,1.25,0.75,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185405,13.52,83.6,0.5,0.25,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185443,13.52,83.75,0.25,0.5,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185521,13.55,83.35,0.25,0.75,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185558,13.52,83.38,0.5,0,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185636,13.48,83.3,0.75,0.5,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185713,13.5,83.47,0.5,0.25,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185751,13.45,83.42,0.5,0.75,6.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185829,13.5,83.33,1.5,2,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,185907,13.5,83.4,1.75,1.75,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
